Species,X500_10,X500_3,X505_10,X505_3,X509_10,X509_3,X510_10,X510_3,X515_10,X515_3,X517_10,X517_3,X518_10,X518_3,X519_10,X519_3,X521_10,X521_3,X522_10,X522_3,X524_10,X524_3,X528_10,X528_3,X532_10,X532_3,X534_10,X534_3,X535_10,X535_3,X536_10,X536_3,X538_10,X538_3,X541_10,X541_3,X542_10,X542_3,X547_10,X547_3,X548_10,X548_3,X549_10,X549_3,X553_10,X553_3,X555_10,X555_3,X562_10,X562_3,X564_10,X564_3,X568_10,X568_3,X571_10,X571_3,X572_10,X572_3,X573_10,X573_3,X577_10,X577_3,X578_10,X578_3,X579_10,X579_3,X580_10,X580_3,X584_10,X584_3,X590_10,X590_3,X592_10,X592_3
Coproplasma_sp910578145,297.573,175.184,688.314,137.549,1874.167,168.052,593.255,301.465,9549.337,25214.855,268.927,27.019,1253.022,152.769,312.34,124.532,590.25,49.001,539.035,389.918,389.879,367.241,353.052,35.283,15799.444,53.686,858.006,162.938,418.353,232.246,77.248,618.911,206.626,222.521,281.304,15.767,226.854,148.047,588.075,196.61,1039.018,177.439,96.482,387.161,347.853,101.974,1949.507,64.882,271.418,34.208,1064.414,191.087,162.11,1949.998,3515.392,74.742,25073.611,1065.09,30730.357,2299.114,1023.487,139.09,270.146,41.891,13359.766,68.286,1838.605,34.091,1071.784,279.847,260.55,110.762,72941.401,277.603
Coproplasma_sp910586065,101520.017,45749.638,525309.663,3748.416,406926.36,10804.996,302192.205,30503.519,339150.939,2988.616,15119.172,7.631,357.095,1085.441,133.957,53.168,57084.692,89.029,42110.384,91.583,109740.276,9362.884,294192.527,24819.284,167884.667,32012.5,231596.192,89.756,303689.452,149318.588,40084.296,172797.811,88255.992,86485.801,341857.192,3,131.368,2677.064,160029.652,3705.043,303837.852,83812.478,105468.586,48192.735,96.471,23687.21,119820.548,38432.437,149122.892,13902.415,322366.169,37829.953,35700.933,605.164,230.558,34269.787,395140.906,4100.123,355256.253,22759.692,514067.785,638.184,118629.688,13.353,175115.956,178.169,399043.057,13880.651,65487.609,1552.905,28.526,2,575251.716,15.158
D16-34_sp910575165,11934.008,2299.373,7070.201,4851.15,6043.609,5901.048,6596.571,8701.27,4394.537,2422.24,2218.938,2983.662,9444.796,6980.126,856.128,7498.385,1571.551,3736.796,7916.832,11326.541,7942.181,1070.099,3292.151,6157.493,1515.117,6597.178,2563.103,3998.96,2367.232,4229.956,1443.806,9141.406,1560.197,3399.978,4477.939,4508.373,2402.525,4966.382,3971.379,5528.122,4239.431,6188.259,3635.749,3183.238,4173.15,2589.824,3668.718,2972.717,1032.238,4693.796,3436.843,5983.316,1618.631,3677.302,6860.9,3587.957,2993.534,1813.494,4646.508,2871.097,3451.348,2795.56,2942.708,6471.721,2563.506,3348.618,6096.923,5479.328,3050.574,7214.137,9021.547,2720.239,1206.737,3156.184
D16-63_sp,68626.161,119561.137,65410.981,90810.786,173064.666,109055.717,43245.22,112102.758,130198.517,92459.857,86954.987,88175.587,132564.999,106935.437,81904.699,166567.116,129231.297,146743.929,95840.421,149309.525,132204.665,20522.523,87069.432,103262.676,139402.525,143868.078,33802.4,133220.896,251925.666,277275.681,38232.259,290496.217,58997.269,245416.954,45615.375,54535.635,124288.661,153985.718,77977.417,96296.725,112269.555,86649.397,118104.147,242727.558,88792.808,104300.415,58310.815,87044.625,95508.665,123542.19,197340.502,189880.87,191633.582,224329.323,53861.171,119668.383,55027.015,74666.748,39088.525,186624.531,142707.534,149776.168,253416.052,19238.454,23818.967,114179.954,239221.282,115239.564,145612.048,105225.112,199096.777,62380.76,31480.95,99073.889
Duncaniella_dubosii,600474.855,160833.462,378821.307,178448.859,782814.277,331621.747,408366.143,123551.084,393162.822,556285.24,363649.818,451282.361,797721.429,295807.41,327550.665,417813.313,356172.573,383881.885,464020.945,411295.953,476543.48,639236.349,458117.554,234758.114,345904.073,308992.922,247123.92,164809.245,353628.694,276336.278,463870.135,399256.949,321736.599,322037.105,416141.329,329229.119,437518.686,337932.164,400306.972,316595.665,608235.653,256458.454,171863.59,325310.85,687670.028,161106.062,587340.379,246637.425,397192.498,220131.916,426633.031,229302.992,389347.677,831125.069,461721.799,274864.288,615211.947,271358.842,247001.477,276917.706,896318.623,362152.423,573158.226,274142.065,347419.303,171518.59,439992.884,309787.458,607346.366,797982.028,476948.772,133408.306,388486.509,224829.319
Duncaniella_freteri,46492.024,230688.987,222472.285,52677.627,228576.895,380073.468,124488.856,130590.48,267946.825,219576.462,141448.7,80144.06,261115.747,105554.936,53717.274,170452.62,80658.371,121771.274,205585.57,227189.772,227956.233,214383.451,242263.11,180223.695,107662.006,281021.43,100829.527,209233.603,215197.565,372624.022,110667.127,351969.572,83796.327,261594.913,163012.079,128852.998,99802.207,397713.132,149981.526,316077.191,288638.397,123685.599,480102.616,423829.014,320765.97,246252.304,163519.134,179920.033,66413.943,155774.652,328451.909,172287.642,201147.116,249493.8,109650.681,89978.709,299292.969,83882.702,113618.394,88036.185,381421.047,20822.802,156717.245,126459.361,53560.378,211041.986,235121.776,242245.84,303089.594,274218.772,150096.24,47552.57,169432.381,108694.838
Duncaniella_muris,26161.634,185490.856,85632.939,15163.442,140035.279,187160.498,49809.6,45663.374,174608.097,108682.834,84207.411,41163.21,141468.33,44719.724,18346.062,73089.311,39193.139,74689.194,82241.355,236227.81,118863.751,104792.813,123026.253,101186.725,47034.589,226237.746,31134.504,79995.292,113660.781,157261.453,44604.178,181285.085,33391.939,92667.837,118316.175,38046.947,60201.107,229751.002,85606.78,204441.496,156231.555,90776.033,155583.092,269553.692,129579.143,120447.879,75694.803,119695.412,29847.042,63069.796,192648.518,68459.007,123963.645,133913.631,41144.347,61472.699,120956.025,53979.576,34276.475,61913.48,131266.47,6827.679,75634.715,61034.277,29622.365,89881.407,78357.285,80391.367,218570.092,91169.607,71671.205,7547.976,56107.071,6331.441
Duncaniella_sp,26434.802,205335.981,120655.98,22707.375,218263.918,291576.812,84619.651,53388.68,274788.839,185522.965,84057.837,48764.968,257766.983,69551.16,26358.715,124970.066,50252.78,121128.532,119237.813,242982.719,183984.197,164084.434,200000.928,139590.943,62176.721,306739.677,50995.633,106421.585,173990.055,255137.278,76530.325,219557.906,59604.01,129355.107,146599.79,82803.112,88397.998,302890.879,142732.951,261848.72,255672.345,132417.38,304952.527,359085.875,250948.705,194305.123,118497.366,194268.268,47871.735,117119.391,335739.203,114016.438,182198.859,170048.644,77290.78,80501.793,191019.28,76688.809,42774.428,84689.057,288881.214,4618.049,138030.259,105294.193,37143.954,101559.439,119087.776,122032.208,303848.778,169985.276,135270.96,10985.397,82885.369,9307.561
Dysosmobacter_sp,203000.846,20550.814,189574.765,90402.626,306421.944,146575.12,183396.906,40236.493,152880.666,91495.219,88529.267,17608.524,152664.657,76865.783,105123.103,49960.58,177280.276,109291.768,63233.861,62554.733,151878.227,70766.173,181041.956,78764,222828.596,39556.23,215445.846,26878.657,79817.557,38663.689,108876.502,88626.766,281694.972,106593.957,267186.776,16290.575,210642.776,119905.523,145277.712,75532.131,86670.813,47911.973,76314.306,47508.671,57709.609,47061.035,247947.237,56622.818,339107.752,98934.867,190649.415,156587.99,202678.766,55736.927,270132.496,234348.845,238279.791,121421.389,221219.86,225993.172,97209.323,88137.911,183491.87,30018.462,243757.832,43397.743,347674.188,18115.794,209153.539,92848.158,173365.994,53932.849,337940.67,119637.485
Dysosmobacter_sp022797935,2289.678,779.864,3363.748,2923.967,5914.501,2129.738,3256.913,1429.447,3717.958,2813.083,2560.83,1528.516,3893.202,2486.148,4715.197,696.738,5769.921,3018.884,2992.56,9452.282,2982.027,3432.285,6251.688,3107.676,4274.451,811.725,7796.364,1461.697,3925.827,1348.787,4286.327,2304.007,4689.44,3977.436,648.36,42.063,7065.883,5556.36,5064.879,3126.843,1687.216,4426.671,1763.931,2007.07,1706.349,1491.836,5757.95,1712.497,6391.75,2091.134,3895.845,4387.303,8460.543,2683.701,9364.385,5069.383,4483.445,3588.26,4081.931,5505.76,2831.873,5717.058,6294.021,142.005,9601.805,2131.401,4540.918,2017.766,4361.219,2511.885,3512.393,783.671,9209.387,2829.645
