Family,403_10,403_3,403_6,405_10,405_3,405_6,407_10,407_3,407_6,408_10,408_3,408_6,411_10,411_3,411_6,412_10,412_3,412_6,414_10,414_3,414_6,420_10,420_3,420_6,425_10,425_3,425_6,427_10,427_3,427_6,428_10,428_3,428_6,431_10,431_3,431_6,432_10,432_3,432_6,433_10,433_3,433_6,437_10,437_3,437_6,438_10,438_3,438_6,439_10,439_3,439_6,444_10,444_3,444_6,449_10,449_3,449_6,450_10,450_3,450_6,451_10,451_3,451_6,452_10,452_3,452_6,456_10,456_3,456_6,459_10,459_3,459_6,461_10,461_3,461_6,463_10,463_3,463_6,464_10,464_3,464_6,465_10,465_3,465_6,466_10,466_3,466_6,471_10,471_3,471_6,472_10,472_3,472_6,475_10,475_3,475_6,476_10,476_3,476_6,478_10,478_3,478_6,481_10,481_3,481_6,482_10,482_3,482_6,484_10,484_3,484_6,485_10,485_3,485_6,489_10,489_3,489_6,495_10,495_3,495_6,500_10,500_3,500_6,505_10,505_3,505_6,509_10,509_3,509_6,510_10,510_3,510_6,515_10,515_3,515_6,517_10,517_3,517_6,518_10,518_3,518_6,519_10,519_3,519_6,521_10,521_3,521_6,522_10,522_3,522_6,524_10,524_3,524_6,528_10,528_3,528_6,532_10,532_3,532_6,534_10,534_3,534_6,535_10,535_3,535_6,536_10,536_3,536_6,538_10,538_3,538_6,541_10,541_3,541_6,542_10,542_3,542_6,547_10,547_3,547_6,548_10,548_3,548_6,549_10,549_3,549_6,553_10,553_3,553_6,555_10,555_3,555_6,562_10,562_3,562_6,564_10,564_3,564_6,568_10,568_3,568_6,571_10,571_3,571_6,572_10,572_3,572_6,573_10,573_3,573_6,577_10,577_3,577_6,578_10,578_3,578_6,579_10,579_3,579_6,580_10,580_3,580_6,584_10,584_3,584_6,590_10,590_3,590_6,592_10,592_3,592_6
Micrococcaceae,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,21,0,0,0,0,0,11,0,0,9,0,0,2,0,0,4,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,8,0,0,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0
Marinifilaceae,0,7,0,0,0,0,0,0,0,3,0,0,136,0,365,0,0,0,0,12,3,0,0,0,0,0,2,0,0,6,0,0,3,0,0,8,5,16,7,171,3,584,0,3,2,0,0,0,6,8,0,4,0,0,0,0,3,8,4,0,0,4,0,0,0,0,0,25,7,0,0,731,0,0,0,5,13,0,4,94,0,0,0,3,0,17,5,0,10,0,0,0,6,0,0,0,0,3,0,4,28,0,1538,7,602,3,0,5,925,0,761,662,5,663,0,4,0,3,0,0,0,6,0,298,22,399,65,36,1775,579,1156,728,5,0,0,8,0,0,0,8,0,8,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,20,5,0,46,5,0,0,0,0,0,0,5,7,2,0,6,0,364,0,471,237,16,360,822,4,681,4,0,82,0,4,0,0,3,0,0,0,4,4,11,0,2,0,0,5,5,10,0,21,0,3,10,0,70,45,216,2,4,0,1024,0,544,0,0,0,0,2,0,2,20,0,0,2,0
Peptococcaceae,10,61,15,19,28,14,18,8,18,15,15,9,12,60,22,10,41,17,34,99,34,6,8,35,15,35,33,0,20,28,7,40,10,20,12,27,27,47,44,25,80,14,6,100,5,25,7,34,13,22,22,10,17,24,9,40,12,37,71,29,19,105,37,20,48,14,41,187,15,17,24,26,0,45,7,13,36,15,7,66,0,22,0,18,3,19,14,9,15,6,16,0,22,10,25,25,22,14,27,22,27,13,61,8,16,82,0,48,29,18,37,28,67,9,26,70,25,15,12,3,21,8,14,7,23,17,5,53,52,18,14,43,30,22,14,12,11,21,6,109,9,14,31,24,7,50,17,5,0,6,16,36,28,18,27,16,11,34,20,36,27,25,5,20,25,6,14,17,28,28,17,18,99,32,12,15,17,14,44,33,9,0,19,0,13,22,12,54,26,20,32,28,12,25,7,10,39,8,16,7,13,18,27,18,41,52,23,10,53,18,20,20,0,18,46,39,22,39,8,0,5,0,37,0,27,8,0,8,14,0,0
o__Bacteroidales,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcaceae,0,15,0,0,0,0,0,0,0,10,0,0,16,0,10,6,0,14,0,21,0,0,0,0,0,0,7,0,25,0,0,6,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,11,0,0,14,0,0,14,0,0,12,0,4,17,0,0,0,0,0,108,0,11,0,12,0,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,9,0,0,0,11,0,15,0,0,0,14,0,19,10,0,12,0,15,0,0,0,11,9,0,13,0,0,18,0,14,0,0,0,18,0,0,0,0,0,29,27,0,0,0,10,0,0,0,30,0,0,29,8,14,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,47,0,0,16,0,0,13,0,0,8,19,0,9,15,0,9,0,0,26,0,0,0,0,0,0,0,8,0,19,0,29,0,0,12,0,0,14,0,0,0,0,0,19,0,0,18,0,0,19,0,0,13,0,0,13,0,0,0,0,18,36,0,0,10,0,0,0,0,0,45,19,0,24,0
Staphylococcaceae,9,6,0,6,0,4,0,0,7,5,3,4,0,0,0,4,0,3,0,40,11,0,0,0,0,8,8,0,3,6,0,0,0,14,12,12,6,11,9,4,7,7,0,0,0,0,0,0,0,4,7,0,0,6,0,19,0,7,0,5,7,0,0,0,3,7,0,0,0,12,0,6,3,10,7,0,0,7,5,53,0,0,4,4,0,0,0,0,5,8,0,0,5,0,0,0,0,20,8,8,4,9,0,3,0,4,4,11,0,7,6,0,0,0,0,0,0,0,0,4,16,15,0,0,0,0,0,73,12,0,4,0,7,0,3,20,7,0,0,0,0,0,0,0,0,0,0,5,0,8,6,0,0,0,10,0,0,7,0,0,0,5,0,0,0,0,3,0,0,4,0,0,8,5,0,25,0,6,0,0,0,0,8,0,0,0,6,7,0,0,0,8,0,4,3,7,0,10,7,5,0,4,0,8,9,42,7,4,9,5,0,12,0,0,8,0,16,6,5,7,0,0,9,0,3,0,79,10,0,3,0
Erysipelotrichaceae,39,37,45,16,31,26,49,4,66,17,49,7,24,0,47,30,0,51,116,24,53,4,5,62,8,18,5,0,22,5,2,76,13,14,0,36,10,26,47,15,21,17,28,34,5,13,9,74,32,23,33,5,53,30,27,60,12,46,23,6,15,30,8,7,33,31,43,93,90,142,53,34,51,29,5,6,0,12,8,13,22,41,3,47,5,4,12,23,34,18,27,7,28,10,4,24,15,29,29,19,5,10,55,2,39,50,0,46,28,59,7,26,69,10,84,0,27,40,17,20,190,17,52,0,26,16,4,16,17,47,33,10,103,49,15,44,25,41,4,23,16,24,9,122,3,41,19,6,9,17,16,13,19,18,21,10,15,28,59,12,16,17,18,240,52,18,85,56,36,39,21,44,143,76,8,25,14,28,91,26,7,24,35,12,12,12,4,68,5,44,30,34,10,16,15,16,19,11,30,112,11,11,6,0,9,17,18,2,15,14,8,42,14,30,18,23,34,71,16,39,39,0,57,36,57,4,10,20,10,0,13
Listeriaceae,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,9,38,13,10,0,0,0,7,9,0,0,12,0,0,0,0,0,0,6,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,6,5,0,0,0,0,0,8,7,0,10,0,0,0,6,0,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,7,14,6,0,0,0,0,0,52,0,0,0,8,0,8,0,0,0,6,0,0,0,0,0,0,0,11,6,0,0,0,0,7,10,0,0,0,4,0,12,0,6,0,0,0,8,0,0,0,9,0,0,0,7,0,0,23,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,10,34,0,0,0,11,0,0,0,3,11,0,0,0,0,0,3,0,0,0,8,0,49,0,0,0,0
Rikenellaceae,218,149,430,166,184,207,94,61,465,148,150,282,289,60,540,99,52,355,274,208,419,250,155,732,276,155,479,20,42,900,450,275,1046,678,87,2260,102,195,396,324,119,419,222,64,427,573,49,1002,328,27,147,150,131,511,122,13,72,626,48,421,634,37,673,0,19,15,284,137,828,266,230,831,67,49,557,966,51,1196,396,164,766,15,15,20,68,36,127,230,107,665,99,524,277,873,635,247,473,333,594,251,303,284,660,18,806,526,18,644,537,50,436,416,48,255,8,12,15,173,18,327,221,216,672,279,188,331,58,163,862,317,641,201,149,218,177,535,312,266,182,163,432,227,202,198,54,83,261,395,321,544,451,12,355,145,115,128,192,115,277,92,205,208,347,254,424,52,451,167,356,287,221,8,16,8,190,203,211,263,162,183,332,49,504,64,52,261,196,92,203,295,134,203,142,15,157,444,177,416,515,226,823,153,125,412,494,160,238,238,248,519,275,250,137,232,21,365,722,19,221,40,357,55,930,273,254,104,99,359,285,109,739
RF39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae,0,0,9,8,0,6,0,0,0,0,6,0,0,6,13,6,0,0,6,46,0,0,9,16,7,0,0,0,0,12,0,0,0,0,8,9,0,0,17,8,0,10,0,0,0,9,3,11,10,0,0,0,10,11,8,31,0,15,0,0,0,0,4,6,0,6,0,8,0,11,0,12,0,0,0,0,0,12,0,53,13,6,11,13,0,0,0,7,9,7,0,0,0,13,0,11,0,27,0,0,0,9,13,10,7,12,0,10,7,10,7,0,0,8,5,0,6,0,0,0,13,14,7,4,13,0,0,70,0,0,0,0,10,0,5,12,0,0,0,0,0,0,10,8,0,7,0,0,0,7,0,0,0,0,8,12,0,0,0,0,11,3,4,5,0,0,0,0,8,0,0,0,0,0,0,37,0,3,8,7,0,8,0,0,0,0,0,0,6,10,5,0,0,0,4,0,6,10,0,0,6,5,0,0,0,41,0,0,6,11,0,0,7,0,0,12,5,0,0,0,0,0,9,0,0,0,69,0,8,8,9
